task_id,conversation_type,duration_min,n_events_mean,event_rate_per_min,word_rate_wpm,words_sp1,words_sp2,wpm_sp1,wpm_sp2,ttr_sp1,ttr_sp2,silence_ratio,turn_count,turn_dur_mean,turn_dur_median,turn_dur_std,n_speaker_changes,fto_mean_s,fto_median_s,fto_n,speaker_balance,bc_rate_per_min,bc_ack_per_min,bc_cont_per_min,bc_react_per_min,int_rate_per_min,int_competitive_per_min,int_cooperative_per_min,int_floor_taking_per_min,int_non_floor_per_min,overlap_count_per_min,overlap_dur_s,laughter_rate_per_min,non_content_ratio,question_rate_per_min
2349,Switchboard,4.592,171.0,37.238,250.86,495,657,107.79,143.07,0.3778,0.3075,0.1399,73,3.991,1.99,4.907,72,-0.266,-0.126,72,0.4036,7.404,,,,2.395,,,2.178,0.218,11.542,17.16,0.653,0.0201,0.436
2350,Switchboard,8.118,263.0,32.396,201.52,775,861,95.46,106.06,0.3523,0.3043,0.176,108,4.479,1.955,5.263,107,0.01,-0.001,107,0.4657,5.174,,,,1.725,,,1.601,0.123,6.898,20.73,4.804,0.0125,
2352,Switchboard,9.989,222.0,22.224,197.51,1044,929,104.51,93.0,0.3611,0.3294,0.1397,102,5.97,2.808,9.79,101,-0.11,-0.064,101,0.5396,3.904,,,,1.001,,,0.801,0.2,6.207,21.46,1.402,0.0047,
2353,Switchboard,9.079,155.0,17.072,198.15,1120,679,123.36,74.79,0.2991,0.3225,0.1671,58,9.361,2.883,16.42,57,-0.051,-0.0,57,0.6133,5.948,,,,0.551,,,0.551,0.0,3.635,9.67,0.551,0.0081,0.33
2354,Switchboard,10.01,127.0,12.687,206.79,1120,950,111.89,94.91,0.2884,0.3484,0.1607,50,11.993,1.985,21.57,49,-0.002,0.001,49,0.5165,3.596,,,,0.3,,,0.3,0.0,2.398,8.37,1.099,0.0055,1.099
2355,Switchboard,8.517,240.0,28.178,243.98,1015,1063,119.17,124.81,0.2749,0.3142,0.0814,91,6.192,3.49,6.777,90,-0.631,-0.261,90,0.4985,6.34,,,,2.935,,,2.583,0.352,8.219,38.67,1.761,0.0173,0.587
2356,Switchboard,6.68,224.0,33.532,212.57,750,670,112.27,100.3,0.3613,0.3075,0.1258,107,3.757,2.193,4.006,106,-0.043,0.016,106,0.5134,4.192,,,,1.347,,,1.347,0.0,8.233,14.25,2.096,0.0183,
2358,Switchboard,6.759,171.0,25.299,198.25,532,808,78.71,119.54,0.3647,0.3094,0.1755,66,6.034,2.465,7.939,65,0.048,0.113,65,0.4029,4.438,,,,1.184,,,1.036,0.148,4.882,13.94,3.551,0.0285,
2359,Switchboard,9.979,183.0,18.338,200.31,879,1120,88.08,112.23,0.3424,0.3446,0.107,72,8.554,3.282,10.059,71,-0.245,-0.202,71,0.3889,3.507,,,,0.902,,,0.802,0.1,4.309,17.37,1.804,0.007,
2360,Switchboard,6.861,204.0,29.732,175.33,511,692,74.48,100.86,0.4442,0.4003,0.2306,99,4.03,2.405,4.437,98,0.102,0.088,98,0.4298,5.538,,,,1.312,,,1.312,0.0,6.413,19.53,2.186,0.0088,
2361,Switchboard,10.017,106.0,10.582,206.25,1154,912,115.2,91.04,0.3224,0.33,0.0951,40,15.231,3.743,24.044,39,-0.352,-0.153,39,0.5557,3.794,,,,0.399,,,0.399,0.0,2.296,12.02,0.499,0.0,
2362,Switchboard,9.99,165.0,16.517,203.7,1071,964,107.21,96.5,0.3203,0.3257,0.1865,59,9.96,4.16,11.541,58,0.178,0.197,58,0.5404,5.906,,,,0.4,,,0.4,0.0,1.802,7.05,1.702,0.0157,0.501
2363,Switchboard,10.003,197.0,19.694,197.64,1017,960,101.67,95.97,0.293,0.3312,0.1881,78,7.507,4.189,8.029,77,0.164,0.112,77,0.5124,3.699,,,,0.5,,,0.5,0.0,2.999,10.04,3.799,0.0161,
2365,Switchboard,8.306,120.0,14.448,195.77,1163,463,140.02,55.75,0.2752,0.3974,0.1809,61,7.972,2.539,11.887,60,0.142,0.127,60,0.6825,3.612,,,,0.963,,,0.963,0.0,2.288,7.58,0.482,0.0059,1.926
2366,Switchboard,8.958,58.0,6.475,189.66,912,787,101.81,87.85,0.3629,0.3609,0.2294,25,20.996,3.042,28.862,24,0.367,0.37,24,0.5793,1.786,,,,0.0,,,0.0,0.0,0.781,2.06,0.447,0.0038,0.223
2367,Switchboard,6.463,155.0,23.982,224.81,549,904,84.94,139.87,0.4007,0.2832,0.1633,62,6.15,2.806,8.332,61,0.049,-0.036,61,0.3867,5.57,,,,0.619,,,0.619,0.0,5.106,12.32,2.321,0.0118,
2368,Switchboard,10.019,229.0,22.857,261.3,1102,1516,109.99,151.31,0.3085,0.2751,0.1217,118,5.288,3.168,5.432,117,-0.204,0.073,117,0.4,3.793,,,,1.996,,,1.896,0.1,5.29,23.73,1.497,0.0077,3.194
2369,Switchboard,8.823,179.0,20.289,241.2,940,1188,106.54,134.65,0.3606,0.3215,0.148,91,5.868,2.683,8.992,90,-0.089,0.077,90,0.4131,4.194,,,,1.133,,,1.02,0.113,4.307,16.78,0.34,0.0095,
2370,Switchboard,10.003,176.0,17.595,242.53,1658,768,165.75,76.78,0.2316,0.3281,0.1532,62,9.919,4.65,12.372,61,-0.273,-0.038,61,0.657,6.098,,,,1.3,,,1.1,0.2,3.799,16.27,1.1,0.0024,0.3
2371,Switchboard,6.785,185.0,27.264,224.3,860,662,126.74,97.56,0.336,0.3278,0.1978,85,4.605,1.901,5.981,84,0.15,0.148,84,0.5077,5.895,,,,0.59,,,0.59,0.0,4.421,9.08,3.242,0.0099,
2372,Switchboard,9.998,136.0,13.603,185.14,1017,834,101.72,83.42,0.3382,0.3237,0.1901,43,13.768,5.58,17.086,42,0.162,0.209,42,0.5485,5.401,,,,0.2,,,0.2,0.0,1.1,2.82,1.7,0.0058,0.7
2373,Switchboard,9.979,161.0,16.135,141.2,702,707,70.35,70.85,0.3362,0.4229,0.3061,87,6.155,2.597,8.566,86,0.726,0.467,86,0.5054,3.708,,,,0.1,,,0.1,0.0,0.902,3.5,1.403,0.0276,3.006
2374,Switchboard,8.258,178.0,21.555,185.15,1094,435,132.48,52.68,0.2943,0.4253,0.2053,98,4.99,2.137,7.138,97,0.028,-0.008,97,0.727,1.695,,,,1.09,,,1.09,0.0,6.418,17.64,0.363,0.0156,
2375,Switchboard,4.717,105.0,22.259,190.37,462,436,97.94,92.43,0.4351,0.3968,0.1042,35,7.954,3.28,10.225,34,0.016,0.204,34,0.5541,4.24,,,,0.636,,,0.636,0.0,2.332,5.24,4.028,0.0395,
2376,Switchboard,5.861,192.0,32.76,252.02,607,870,103.57,148.45,0.3542,0.3184,0.0924,75,5.046,2.316,6.581,74,-0.405,-0.21,74,0.3859,7.678,,,,2.73,,,2.048,0.683,9.896,23.27,0.683,0.0159,0.0
2377,Switchboard,9.984,141.0,14.123,221.15,925,1283,92.65,128.5,0.3632,0.2307,0.1266,51,11.817,4.2,15.782,50,-0.104,-0.199,50,0.4843,3.506,,,,0.801,,,0.801,0.0,3.305,11.6,1.302,0.0062,
2378,Switchboard,9.997,191.0,19.105,194.15,1175,766,117.53,76.62,0.3166,0.2898,0.1902,89,6.733,3.076,8.61,88,-0.015,0.0,88,0.5853,4.101,,,,1.2,,,1.2,0.0,4.601,19.99,0.7,0.0081,
2379,Switchboard,9.982,118.0,11.821,181.12,872,936,87.35,93.77,0.3509,0.3451,0.1781,36,16.327,4.858,30.054,35,0.267,0.272,35,0.4937,4.207,,,,0.301,,,0.301,0.0,0.902,3.52,0.902,0.028,0.601
2380,Switchboard,9.998,89.0,8.902,181.84,894,924,89.42,92.42,0.3501,0.3149,0.1043,28,21.262,12.891,23.729,27,0.1,0.255,27,0.5117,4.101,,,,0.3,,,0.3,0.0,0.8,5.42,1.1,0.0002,0.0
2381,Switchboard,9.249,274.0,29.625,215.81,1235,761,133.53,82.28,0.3287,0.3456,0.1162,123,4.514,2.008,7.195,122,-0.024,0.011,122,0.6188,5.73,,,,1.297,,,1.297,0.0,6.487,17.74,3.568,0.0042,
2382,Switchboard,8.756,159.0,18.159,208.66,513,1314,58.59,150.07,0.4094,0.3166,0.178,91,5.299,2.47,8.175,90,0.456,0.247,90,0.2723,2.513,,,,0.228,,,0.228,0.0,2.627,6.73,1.142,0.02,1.485
2383,Switchboard,5.008,73.0,14.578,201.49,265,744,52.92,148.57,0.5245,0.4167,0.1649,36,8.083,1.435,19.03,35,0.186,0.154,35,0.3173,1.997,,,,0.399,,,0.399,0.0,2.197,4.61,2.396,0.0105,0.399
2384,Switchboard,7.474,136.0,18.197,204.05,537,988,71.85,132.2,0.4358,0.3269,0.1755,58,7.715,3.212,10.776,57,-0.02,0.086,57,0.3631,3.479,,,,0.669,,,0.669,0.0,2.944,10.01,2.542,0.0118,
2386,Switchboard,10.001,303.0,30.298,217.69,939,1238,93.89,123.79,0.3514,0.3247,0.1441,144,4.249,1.952,5.559,143,-0.088,0.065,143,0.4241,3.7,,,,1.7,,,1.5,0.2,6.8,25.42,3.4,0.0177,3.2
2387,Switchboard,7.922,155.0,19.566,208.79,457,1197,57.69,151.1,0.4311,0.2882,0.1222,68,6.966,2.362,10.749,67,-0.017,0.023,67,0.2859,3.156,,,,0.757,,,0.757,0.0,4.166,12.84,2.903,0.0029,1.01
2388,Switchboard,6.292,126.0,20.025,218.37,1014,360,161.16,57.22,0.2899,0.4806,0.1891,49,7.521,4.381,10.261,48,0.107,0.074,48,0.6986,2.384,,,,0.795,,,0.795,0.0,3.655,7.48,2.861,0.0329,
2389,Switchboard,9.99,164.0,16.416,210.01,748,1350,74.87,135.13,0.3155,0.2756,0.1499,60,10.067,3.096,14.378,59,-0.092,-0.003,59,0.394,5.706,,,,0.701,,,0.701,0.0,3.203,11.75,1.001,0.0024,0.5
2390,Switchboard,9.997,196.0,19.605,186.85,1062,806,106.23,80.62,0.307,0.3052,0.1475,84,7.18,4.561,7.503,83,-0.054,0.032,83,0.5405,2.701,,,,1.5,,,1.4,0.1,4.301,21.2,3.101,0.0085,
2392,Switchboard,9.974,145.0,14.537,203.12,867,1159,86.92,116.2,0.3345,0.2916,0.167,80,7.348,3.048,9.458,79,0.121,0.198,79,0.4237,1.504,,,,0.802,,,0.802,0.0,2.607,11.72,1.303,0.0086,
2393,Switchboard,10.002,128.0,12.798,201.27,632,1381,63.19,138.08,0.3592,0.265,0.1557,37,16.253,4.176,23.084,36,-0.071,0.065,36,0.3608,4.799,,,,0.3,,,0.3,0.0,1.6,6.52,1.8,0.0068,0.4
2394,Switchboard,9.768,139.0,14.231,177.94,869,869,88.97,88.97,0.328,0.3429,0.2575,75,7.768,2.092,11.272,74,-0.013,0.189,74,0.4923,2.969,,,,1.331,,,1.331,0.0,3.276,18.55,0.0,0.0073,
2395,Switchboard,9.982,105.0,10.519,177.31,900,870,90.16,87.15,0.3656,0.3667,0.1904,43,13.606,6.527,14.137,42,0.299,0.199,42,0.495,3.907,,,,0.301,,,0.301,0.0,1.102,4.85,0.401,0.0058,0.902
2396,Switchboard,9.295,186.0,20.011,218.83,1432,602,154.06,64.77,0.257,0.392,0.1853,72,7.764,3.434,13.644,71,-0.07,0.13,71,0.6466,5.594,,,,0.753,,,0.753,0.0,2.69,11.33,3.443,0.0057,
2397,Switchboard,10.003,203.0,20.293,185.54,983,873,98.27,87.27,0.2716,0.3562,0.1357,89,6.798,3.282,7.613,88,-0.064,0.04,88,0.5452,2.299,,,,1.3,,,1.3,0.0,4.498,23.62,4.099,0.0061,1.999
2398,Switchboard,10.017,179.0,17.869,208.64,825,1265,82.36,126.28,0.3576,0.3012,0.1534,72,8.339,3.867,11.381,71,-0.004,0.008,71,0.3587,4.293,,,,0.399,,,0.399,0.0,3.594,10.95,2.596,0.0004,
2399,Switchboard,7.757,121.0,15.598,157.14,385,834,49.63,107.51,0.3818,0.3309,0.2873,33,13.894,2.824,25.657,32,0.08,0.23,32,0.3609,6.575,,,,0.387,,,0.387,0.0,1.934,4.61,1.934,0.0085,0.773
2401,Switchboard,6.337,105.0,16.569,161.11,347,674,54.76,106.36,0.5476,0.3457,0.2475,57,6.314,2.725,7.914,56,0.332,0.291,56,0.3671,2.209,,,,0.631,,,0.631,0.0,2.367,7.86,1.42,0.0187,
2402,Switchboard,5.859,94.0,16.045,195.27,727,417,124.09,71.18,0.3879,0.47,0.1025,43,7.981,3.319,9.884,42,0.121,0.151,42,0.6819,3.414,,,,0.512,,,0.512,0.0,2.048,3.38,2.048,0.0163,
2403,Switchboard,9.98,197.0,19.74,202.41,880,1140,88.18,114.23,0.3659,0.2737,0.1803,92,6.674,3.386,8.158,91,-0.173,-0.095,91,0.429,2.104,,,,1.503,,,1.403,0.1,5.611,24.91,2.104,0.0052,
2404,Switchboard,9.999,163.0,16.301,192.92,1005,924,100.51,92.41,0.3025,0.29,0.1612,56,10.585,5.624,13.793,55,0.102,0.223,55,0.5256,4.9,,,,0.5,,,0.5,0.0,1.9,9.01,2.3,0.0151,
2405,Switchboard,9.18,218.0,23.747,247.6,1631,642,177.67,69.93,0.2495,0.3551,0.0845,80,7.089,3.144,9.406,79,-0.257,-0.053,79,0.6725,5.882,,,,1.852,,,1.743,0.109,5.447,23.89,1.852,0.0154,0.98
2406,Switchboard,8.513,150.0,17.619,188.76,687,920,80.7,108.06,0.4047,0.3217,0.2225,76,6.451,2.862,7.733,75,0.229,0.262,75,0.4664,3.406,,,,0.352,,,0.352,0.0,3.289,9.67,1.762,0.0041,1.41
2407,Switchboard,9.982,93.0,9.316,182.72,1239,585,124.12,58.6,0.3422,0.412,0.1669,40,14.692,7.537,18.14,39,0.229,0.32,39,0.6399,2.004,,,,0.301,,,0.301,0.0,1.703,6.72,1.302,0.0017,0.801
2408,Switchboard,9.628,355.0,36.871,237.43,1068,1218,110.93,126.5,0.294,0.3333,0.1204,154,4.019,2.125,4.859,153,-0.29,-0.11,153,0.4263,6.024,,,,3.531,,,2.908,0.623,12.36,41.92,2.077,0.004,
2409,Switchboard,6.058,169.0,27.896,231.25,579,822,95.57,135.68,0.3765,0.2968,0.165,69,5.303,1.797,6.636,68,-0.071,-0.041,68,0.4249,7.263,,,,0.66,,,0.66,0.0,6.107,11.73,2.311,0.0096,
2410,Switchboard,9.997,118.0,11.804,200.37,1538,465,153.85,46.52,0.2588,0.3806,0.1289,39,15.36,5.213,29.691,38,-0.015,0.045,38,0.7455,4.602,,,,0.6,,,0.6,0.0,1.701,5.94,0.8,0.0049,
2411,Switchboard,9.136,260.0,28.457,187.49,703,1010,76.94,110.55,0.3812,0.3178,0.2762,150,3.297,1.814,4.056,149,0.343,0.234,149,0.3963,4.597,,,,0.985,,,0.985,0.0,4.597,13.8,1.204,0.0109,
2413,Switchboard,4.494,49.0,10.903,190.02,212,642,47.17,142.85,0.5991,0.3536,0.1861,27,9.579,3.974,14.734,26,0.32,0.223,26,0.2494,1.335,,,,0.223,,,0.223,0.0,2.225,2.86,0.0,0.0206,2.448
2415,Switchboard,10.003,174.0,17.395,162.25,887,736,88.67,73.58,0.3202,0.4008,0.2918,100,5.607,2.941,6.708,99,0.388,0.3,99,0.5291,2.299,,,,0.6,,,0.6,0.0,2.999,11.65,1.2,0.0166,
2416,Switchboard,7.1,148.0,20.845,190.71,871,483,122.68,68.03,0.3708,0.4306,0.2005,61,6.595,2.58,7.31,60,0.334,0.171,60,0.6144,5.916,,,,0.423,,,0.423,0.0,3.239,8.39,2.254,0.0103,
2417,Switchboard,7.881,155.0,19.669,227.39,1349,443,171.18,56.21,0.2261,0.3634,0.1359,62,7.904,2.651,10.892,61,-0.323,-0.075,61,0.676,4.695,,,,1.523,,,1.523,0.0,4.568,20.41,1.903,0.0063,
2418,Switchboard,10.014,161.0,16.077,198.42,1298,689,129.62,68.8,0.282,0.3832,0.1789,83,6.981,2.32,10.144,82,0.261,-0.002,82,0.6262,2.097,,,,0.799,,,0.799,0.0,4.394,17.02,0.699,0.0041,1.398
2419,Switchboard,10.002,155.0,15.497,240.15,1676,726,167.56,72.58,0.2774,0.3678,0.1285,81,7.384,3.102,10.824,80,0.015,0.062,80,0.7293,2.599,,,,0.8,,,0.8,0.0,3.599,16.65,0.7,0.0022,
2420,Switchboard,7.096,101.0,14.232,167.55,661,528,93.14,74.4,0.3828,0.3655,0.235,53,7.592,4.834,7.252,52,0.371,0.34,52,0.5792,3.241,,,,0.564,,,0.564,0.0,2.114,7.47,0.564,0.0055,
2421,Switchboard,8.099,117.0,14.446,188.66,493,1035,60.87,127.79,0.359,0.3111,0.1595,49,9.91,1.756,18.931,48,-0.056,-0.02,48,0.2846,4.075,,,,0.617,,,0.617,0.0,3.087,9.95,0.247,0.007,0.37
2422,Switchboard,9.969,178.0,17.855,188.18,1151,725,115.46,72.72,0.3388,0.3297,0.1855,82,6.917,3.578,8.164,81,0.374,0.375,81,0.607,4.414,,,,0.602,,,0.602,0.0,2.508,8.93,2.207,0.0034,
2423,Switchboard,10.032,222.0,22.13,207.35,1200,880,119.62,87.72,0.32,0.342,0.1353,107,5.833,3.036,7.274,106,-0.214,-0.037,106,0.6041,2.991,,,,1.794,,,1.794,0.0,6.181,23.69,1.994,0.0021,1.396
2424,Switchboard,9.478,119.0,12.555,164.27,570,987,60.14,104.13,0.3877,0.3799,0.2212,59,9.246,3.059,12.64,58,0.349,0.171,58,0.4097,2.321,,,,0.422,,,0.422,0.0,1.899,6.61,1.055,0.009,1.055
2426,Switchboard,7.648,97.0,12.684,201.76,443,1100,57.93,143.84,0.4108,0.2991,0.1881,35,13.002,2.014,25.757,34,0.021,0.046,34,0.3263,4.577,,,,0.131,,,0.131,0.0,2.092,5.03,0.785,0.0066,0.262
2427,Switchboard,9.997,380.0,38.012,265.58,1244,1411,124.44,141.14,0.2822,0.2778,0.1271,171,3.965,2.807,3.973,170,-0.463,-0.19,170,0.4364,5.502,,,,4.701,,,3.701,1.0,13.404,50.37,1.0,0.0078,1.2
2428,Switchboard,10.0,173.0,17.301,245.51,644,1811,64.4,181.11,0.4208,0.2612,0.117,94,6.516,2.287,11.002,93,-0.14,0.046,93,0.2899,2.3,,,,1.0,,,1.0,0.0,4.3,21.04,0.5,0.0025,
2429,Switchboard,9.998,171.0,17.103,195.63,1049,907,104.92,90.71,0.3108,0.3319,0.1742,60,9.962,5.525,11.004,59,0.006,0.13,59,0.5241,3.701,,,,0.5,,,0.5,0.0,2.7,11.53,3.601,0.0074,0.6
2430,Switchboard,8.99,166.0,18.466,245.95,643,1568,71.53,174.43,0.4121,0.2761,0.1264,76,7.349,3.341,10.803,75,-0.296,0.062,75,0.3176,4.561,,,,1.224,,,1.112,0.111,4.338,15.98,0.89,0.0042,
2431,Switchboard,9.817,153.0,15.585,218.39,1110,1034,113.07,105.33,0.2766,0.3172,0.1559,68,8.574,3.206,10.024,67,0.036,0.076,67,0.5084,4.686,,,,0.407,,,0.407,0.0,2.954,10.2,0.204,0.0058,1.834
2432,Switchboard,9.989,199.0,19.922,191.21,579,1331,57.96,133.25,0.3143,0.3073,0.2195,78,7.317,2.427,11.287,77,0.359,0.325,77,0.371,6.007,,,,0.2,,,0.2,0.0,1.802,5.42,3.504,0.0051,2.803
2433,Switchboard,9.169,254.0,27.703,242.56,1567,657,170.91,71.66,0.2884,0.3364,0.1206,110,5.059,2.415,6.745,109,-0.1,0.069,109,0.6604,4.254,,,,1.636,,,1.527,0.109,6.108,20.33,4.035,0.0123,1.309
2434,Switchboard,10.0,163.0,16.301,200.21,1070,932,107.0,93.2,0.315,0.3423,0.1673,67,8.633,4.69,8.508,66,0.313,0.287,66,0.5465,2.1,,,,0.3,,,0.3,0.0,1.4,4.9,1.4,0.0643,1.1
2435,Switchboard,10.004,308.0,30.786,236.19,1556,807,155.53,80.66,0.2442,0.316,0.1362,137,4.612,2.378,6.017,136,-0.243,-0.105,136,0.5945,4.498,,,,2.299,,,2.099,0.2,8.496,39.95,2.199,0.0121,1.0
2436,Switchboard,8.155,222.0,27.224,217.54,792,982,97.12,120.42,0.3485,0.3045,0.1136,80,6.253,1.567,9.672,79,-0.19,-0.089,79,0.4457,7.235,,,,0.981,,,0.981,0.0,5.764,20.49,2.943,0.0179,1.472
2437,Switchboard,8.647,160.0,18.503,236.6,1459,587,168.72,67.88,0.2598,0.414,0.1369,74,7.105,2.312,10.725,73,-0.134,-0.014,73,0.703,2.66,,,,1.156,,,1.156,0.0,5.204,17.98,0.809,0.0076,1.735
2438,Switchboard,9.995,107.0,10.706,190.9,945,963,94.55,96.35,0.3683,0.3333,0.1425,22,27.084,15.289,28.812,21,0.175,0.091,21,0.4429,4.903,,,,0.2,,,0.2,0.0,1.001,3.52,1.901,0.0052,
2439,Switchboard,9.532,182.0,19.094,217.9,1246,831,130.72,87.18,0.2809,0.3502,0.1618,74,7.586,2.381,11.659,73,0.099,0.123,73,0.5932,6.295,,,,0.629,,,0.629,0.0,2.937,11.83,1.259,0.0063,1.574
2440,Switchboard,10.012,242.0,24.171,212.94,1315,817,131.34,81.6,0.2654,0.3133,0.1832,128,4.678,2.503,6.473,127,0.001,0.09,127,0.5766,3.995,,,,1.099,,,1.099,0.0,5.194,18.1,1.598,0.005,
2441,Switchboard,9.985,228.0,22.834,223.83,1325,910,132.7,91.14,0.3185,0.3484,0.1542,113,5.333,2.08,6.972,112,-0.047,0.059,112,0.6381,3.906,,,,0.701,,,0.701,0.0,4.907,17.66,0.901,0.0136,0.501
2442,Switchboard,6.565,81.0,12.338,191.47,384,873,58.49,132.98,0.4609,0.323,0.2675,33,11.313,3.716,13.979,32,0.532,0.377,32,0.3263,5.179,,,,0.0,,,0.0,0.0,0.762,1.22,0.152,0.0169,1.523
2443,Switchboard,9.991,179.0,17.916,246.92,1697,770,169.85,77.07,0.2746,0.3519,0.1072,78,7.956,3.016,14.21,77,-0.28,0.035,77,0.6984,4.004,,,,1.802,,,1.802,0.0,4.704,19.62,1.101,0.0017,
2444,Switchboard,8.204,158.0,19.26,210.88,727,1003,88.62,122.26,0.3191,0.35,0.1153,64,7.974,2.117,11.973,63,-0.336,-0.144,63,0.4641,2.804,,,,1.707,,,1.707,0.0,4.754,24.36,3.535,0.0065,
2445,Switchboard,9.977,118.0,11.827,190.23,1217,681,121.98,68.25,0.2786,0.3495,0.2019,51,11.763,7.411,15.095,50,-0.037,0.208,50,0.6358,2.405,,,,0.802,,,0.802,0.0,2.506,9.02,1.203,0.0049,0.902
2446,Switchboard,9.997,80.0,8.002,168.85,555,1133,55.52,113.33,0.409,0.3001,0.238,26,22.631,9.48,36.84,25,0.357,0.435,25,0.3638,2.701,,,,0.1,,,0.1,0.0,0.6,1.53,0.7,0.0135,0.9
2447,Switchboard,9.987,208.0,20.827,228.49,950,1332,95.12,133.37,0.3379,0.295,0.1206,77,8.021,3.204,10.147,76,-0.278,-0.055,76,0.4997,5.107,,,,1.602,,,1.302,0.3,4.906,25.18,1.802,0.0109,
2448,Switchboard,6.236,138.0,22.129,182.64,791,348,126.84,55.8,0.3805,0.3822,0.1966,65,5.482,2.253,7.132,64,0.197,0.181,64,0.7354,4.811,,,,0.641,,,0.641,0.0,4.65,8.86,0.962,0.0133,0.962
2450,Switchboard,1.718,44.0,25.607,218.82,219,157,127.45,91.37,0.4749,0.6115,0.1308,21,4.866,3.003,4.826,20,-0.067,0.065,20,0.5754,1.164,,,,1.746,,,1.746,0.0,4.656,3.62,1.746,0.0648,1.746
2451,Switchboard,9.998,61.0,6.101,146.22,512,950,51.21,95.01,0.4609,0.3253,0.3001,32,18.045,15.208,17.405,31,0.654,0.688,31,0.4096,0.9,,,,0.1,,,0.1,0.0,0.5,1.65,0.5,0.0081,0.4
2452,Switchboard,9.983,180.0,18.031,211.66,1064,1049,106.58,105.08,0.3252,0.3241,0.1494,82,7.499,4.615,9.094,81,-0.211,0.046,81,0.4832,4.007,,,,1.102,,,1.102,0.0,4.007,18.85,1.002,0.007,0.601
2453,Switchboard,9.999,142.0,14.202,183.12,933,898,93.31,89.81,0.2894,0.333,0.1843,61,9.769,5.106,11.397,60,0.042,0.055,60,0.5367,3.3,,,,0.8,,,0.8,0.0,3.1,12.94,0.5,0.0123,
2454,Switchboard,9.988,247.0,24.729,189.12,778,1111,77.89,111.23,0.3715,0.2844,0.085,125,5.091,2.825,5.176,124,-0.306,-0.176,124,0.3794,2.203,,,,1.902,,,1.702,0.2,8.11,46.33,1.402,0.0065,
2455,Switchboard,7.489,80.0,10.683,167.72,622,634,83.06,84.66,0.3617,0.3801,0.2182,30,14.566,7.742,16.826,29,0.298,0.179,29,0.4952,4.273,,,,0.134,,,0.134,0.0,1.335,3.49,0.801,0.0054,1.068
2456,Switchboard,9.998,178.0,17.803,196.14,1418,543,141.83,54.31,0.2976,0.3904,0.186,88,6.774,2.828,8.718,87,0.032,0.112,87,0.7181,2.0,,,,1.0,,,0.9,0.1,4.501,17.05,1.2,0.0099,
2457,Switchboard,7.486,161.0,21.506,209.18,810,756,108.2,100.98,0.3284,0.3571,0.1137,67,6.74,3.797,7.277,66,-0.083,0.0,66,0.5163,5.076,,,,0.935,,,0.801,0.134,4.675,13.18,1.603,0.0104,0.935
2458,Switchboard,9.996,59.0,5.902,177.06,612,1158,61.22,115.84,0.4183,0.2979,0.1726,18,33.323,24.967,32.428,17,-0.037,-0.278,17,0.3182,2.801,,,,0.2,,,0.2,0.0,0.9,4.8,0.2,0.0042,
2459,Switchboard,9.98,137.0,13.727,202.3,1028,991,103.0,99.3,0.3161,0.3542,0.1152,47,13.088,4.897,16.659,46,-0.397,-0.311,46,0.4475,4.008,,,,1.002,,,1.002,0.0,3.908,18.84,0.2,0.0045,
2460,Switchboard,9.984,118.0,11.819,230.37,1299,1001,130.11,100.26,0.2779,0.2927,0.127,60,10.019,4.636,10.753,59,-0.051,-0.042,59,0.5561,2.404,,,,0.401,,,0.401,0.0,3.205,9.68,0.1,0.0013,1.703
2461,Switchboard,6.35,137.0,21.573,241.71,982,553,154.63,87.08,0.3177,0.3617,0.1233,64,6.074,2.567,6.802,63,-0.185,0.037,63,0.5449,3.464,,,,0.945,,,0.945,0.0,5.039,10.01,0.315,0.0216,1.26
2463,Switchboard,9.997,220.0,22.006,176.05,496,1264,49.61,126.44,0.3851,0.2674,0.1789,89,6.854,2.211,10.369,88,-0.142,0.025,88,0.3049,3.801,,,,1.801,,,1.5,0.3,5.201,28.12,3.301,0.0078,
2464,Switchboard,10.007,234.0,23.384,234.14,1220,1123,121.92,112.22,0.2852,0.3161,0.0554,97,6.604,3.502,8.236,96,-0.428,-0.132,96,0.5768,3.697,,,,1.499,,,1.399,0.1,6.396,29.57,1.799,0.0248,
2465,Switchboard,8.939,212.0,23.716,200.02,739,1049,82.67,117.35,0.3748,0.2812,0.1717,103,5.127,2.126,6.491,102,0.044,0.108,102,0.3963,4.139,,,,1.007,,,1.007,0.0,4.81,14.14,2.014,0.0118,1.454
2466,Switchboard,9.587,146.0,15.229,160.53,639,900,66.65,93.88,0.3568,0.3533,0.2818,81,6.794,2.056,11.253,80,0.272,0.214,80,0.3782,2.816,,,,0.209,,,0.209,0.0,2.816,9.02,0.417,0.0094,1.773
2467,Switchboard,9.968,132.0,13.243,169.54,545,1145,54.68,114.87,0.4294,0.3249,0.2522,68,8.393,3.657,10.334,67,0.388,0.283,67,0.3393,3.21,,,,0.401,,,0.401,0.0,2.107,6.3,0.502,0.0022,1.304
2468,Switchboard,9.991,180.0,18.017,218.21,1302,878,130.32,87.88,0.2957,0.2973,0.1098,76,8.266,2.875,17.827,75,-0.386,-0.242,75,0.5721,1.501,,,,1.902,,,1.702,0.2,6.106,27.84,1.101,0.0097,
